year_id,sex_id,location_id,pop_internal_80plus,pop_observed_80plus,diff,flag_diff
2003,8507,21,5214,5214,0,FALSE
2003,8507,22,1091,1091,0,FALSE
2003,8507,23,622,622,0,FALSE
2003,8507,24,484,484,0,FALSE
2003,8507,25,823,823,0,FALSE
2003,8532,0,133234,133234,0,FALSE
2003,8532,1,1012,1012,0,FALSE
2003,8532,2,6146,6146,0,FALSE
2003,8532,3,2137,2137,0,FALSE
2003,8532,4,6715,6715,0,FALSE
2003,8532,5,4096,4096,0,FALSE
2003,8532,6,5352,5352,-9.09494701772928e-13,FALSE
2003,8532,7,4474,4474,0,FALSE
2003,8532,8,5426,5426,0,FALSE
2003,8532,9,2584,2584,0,FALSE
2003,8532,10,2502,2502,0,FALSE
2003,8532,11,3293,3293,0,FALSE
2003,8532,12,6241,6241,0,FALSE
2003,8532,13,7898,7898,0,FALSE
2003,8532,14,5257,5257,0,FALSE
2003,8532,15,47004,47004,0,FALSE
2003,8532,16,2210,2210,0,FALSE
2003,8532,17,139,139,0,FALSE
2003,8532,18,816,816,0,FALSE
2003,8532,19,1033,1033,0,FALSE
2003,8532,20,6261,6261,0,FALSE
2003,8532,21,8477,8477,0,FALSE
2003,8532,22,1743,1743,0,FALSE
2003,8532,23,959,959,0,FALSE
2003,8532,24,590,590,0,FALSE
2003,8532,25,869,869,0,FALSE
2004,8507,0,92784,92784,0,FALSE
2004,8507,1,784,784,0,FALSE
2004,8507,2,4433,4433,0,FALSE
2004,8507,3,1360,1360,0,FALSE
2004,8507,4,4975,4975,9.09494701772928e-13,FALSE
2004,8507,5,2397,2397,0,FALSE
2004,8507,6,3719,3719,0,FALSE
2004,8507,7,3336,3336,0,FALSE
2004,8507,8,3929,3929,0,FALSE
2004,8507,9,1592,1592,0,FALSE
2004,8507,10,1738,1738,0,FALSE
2004,8507,11,2593,2593,4.54747350886464e-13,FALSE
2004,8507,12,4472,4472,0,FALSE
2004,8507,13,5141,5141,0,FALSE
2004,8507,14,3903,3903,0,FALSE
2004,8507,15,31790,31790,0,FALSE
2004,8507,16,1562,1562,0,FALSE
2004,8507,17,178,178,0,FALSE
2004,8507,18,653,653,0,FALSE
2004,8507,19,723,723,0,FALSE
2004,8507,20,4909,4909,0,FALSE
2004,8507,21,5405,5405,0,FALSE
2004,8507,22,1155,1155,0,FALSE
2004,8507,23,660,660,0,FALSE
2004,8507,24,508,508,0,FALSE
2004,8507,25,869,869,0,FALSE
2004,8532,0,140577,140577,0,FALSE
2004,8532,1,1040,1040,0,FALSE
2004,8532,2,6364,6364,0,FALSE
2004,8532,3,2166,2166,0,FALSE
2004,8532,4,7076,7076,9.09494701772928e-13,FALSE
2004,8532,5,4218,4218,0,FALSE
2004,8532,6,5479,5479,0,FALSE
2004,8532,7,4853,4853,0,FALSE
2004,8532,8,5615,5615,0,FALSE
2004,8532,9,2634,2634,0,FALSE
2004,8532,10,2654,2654,0,FALSE
2004,8532,11,3507,3507,0,FALSE
2004,8532,12,6511,6511,0,FALSE
2004,8532,13,8402,8402,0,FALSE
2004,8532,14,5592,5592,0,FALSE
2004,8532,15,50188,50188,0,FALSE
2004,8532,16,2336,2336,0,FALSE
2004,8532,17,151,151,0,FALSE
2004,8532,18,854,854,0,FALSE
2004,8532,19,1070,1070,0,FALSE
2004,8532,20,6558,6558,0,FALSE
2004,8532,21,8920,8920,0,FALSE
2004,8532,22,1828,1828,0,FALSE
2004,8532,23,1016,1016,0,FALSE
2004,8532,24,614,614,0,FALSE
2004,8532,25,931,931,0,FALSE
2005,8507,0,98777,98777,0,FALSE
2005,8507,1,819,819,0,FALSE
2005,8507,2,4621,4621,0,FALSE
2005,8507,3,1369,1369,0,FALSE
2005,8507,4,5313,5313,0,FALSE
2005,8507,5,2464,2464,0,FALSE
2005,8507,6,3832,3832,0,FALSE
2005,8507,7,3632,3632,0,FALSE
2005,8507,8,4043,4043,0,FALSE
2005,8507,9,1609,1609,0,FALSE
2005,8507,10,1852,1852,0,FALSE
2005,8507,11,2792,2792,0,FALSE
2005,8507,12,4658,4658,0,FALSE
2005,8507,13,5568,5568,0,FALSE
2005,8507,14,4184,4184,0,FALSE
2005,8507,15,34462,34462,0,FALSE
2005,8507,16,1668,1668,0,FALSE
2005,8507,17,199,199,0,FALSE
2005,8507,18,687,687,0,FALSE
2005,8507,19,767,767,0,FALSE
2005,8507,20,5213,5213,0,FALSE
2005,8507,21,5616,5616,0,FALSE
2005,8507,22,1241,1241,0,FALSE
2005,8507,23,710,710,0,FALSE
2005,8507,24,536,536,0,FALSE
2005,8507,25,922,922,1.13686837721616e-13,FALSE
2005,8532,0,148332,148332,0,FALSE
2005,8532,1,1077,1077,0,FALSE
2005,8532,2,6621,6621,0,FALSE
2005,8532,3,2202,2202,0,FALSE
2005,8532,4,7488,7488,0,FALSE
2005,8532,5,4324,4324,0,FALSE
2005,8532,6,5653,5653,0,FALSE
2005,8532,7,5250,5250,0,FALSE
2005,8532,8,5831,5831,0,FALSE
2005,8532,9,2675,2675,0,FALSE
2005,8532,10,2801,2801,0,FALSE
2005,8532,11,3735,3735,0,FALSE
2005,8532,12,6791,6791,0,FALSE
2005,8532,13,8933,8933,0,FALSE
2005,8532,14,5939,5939,0,FALSE
2005,8532,15,53458,53458,0,FALSE
2005,8532,16,2458,2458,0,FALSE
2005,8532,17,164,164,0,FALSE
2005,8532,18,897,897,0,FALSE
2005,8532,19,1113,1113,0,FALSE
2005,8532,20,6934,6934,0,FALSE
2005,8532,21,9346,9346,0,FALSE
2005,8532,22,1924,1924,2.27373675443232e-13,FALSE
2005,8532,23,1082,1082,0,FALSE
2005,8532,24,642,642,0,FALSE
2005,8532,25,994,994,0,FALSE
2006,8507,0,106168,106168,0,FALSE
